1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Class
0,0,256088,1042668,3300762,1268634,0,0,149886,470120,0,269480,274388,703734,192602,0,0,0,0,0,0,0,287274,0,0,0,0,0,270334,216222,0,0,0,0,443242,0,0,0,0,0,0,0,0,0,0,0,599654,0,0,0,453460,0,0,0,0,0,0,0,0,0,0,0,0,0,444544,0,0,0,0,0,0,0,0,0,0,0,622942,0,0,455072,0,0,0,0,0,0,0,521406,3354786,3380188,0,0,0,0,572500,0,0,0,0,0,0,0,0,594702,0,0,0,0,5040710,534508,392502,0,0,699280,819100,0,0,0,0,0,VPN
0,0,0,222794,744614,2148762,1250654,610778,883286,0,147418,470216,0,250286,431922,568810,151756,0,0,302724,0,0,246318,116258,0,317528,0,0,0,0,0,0,0,0,0,616698,443074,0,0,0,0,0,0,0,0,0,0,0,0,0,146956,301486,0,0,0,0,0,0,0,0,0,0,0,0,242792,2091886,3902018,610808,0,0,0,0,0,0,0,0,0,0,0,0,618008,0,0,0,0,0,0,0,0,0,0,0,0,0,559834,0,1986208,5760864,1903494,1178274,608574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136476,548958,0,0,VPN
0,0,212588,902516,3091102,1570344,0,0,0,447502,122914,242428,666244,254076,350596,0,0,0,0,0,0,0,350532,0,0,0,0,0,0,477486,0,0,0,0,451722,0,0,0,0,0,0,0,0,0,0,0,0,600280,0,0,453444,0,0,0,0,0,0,0,0,0,0,0,0,0,980152,3268028,3435732,0,0,0,0,0,0,0,0,0,623340,0,0,509822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574068,0,0,0,0,0,0,0,593622,0,0,0,0,0,0,0,0,0,0,430976,0,0,0,0,0,VPN
0,0,232348,942676,3591492,1013624,0,0,136266,467320,0,278620,278546,683962,187316,0,0,114450,0,0,0,0,283342,0,0,0,0,0,339182,136062,0,0,0,0,465406,0,0,0,0,0,0,0,0,0,0,0,599192,0,0,206982,246892,0,0,0,0,0,0,0,0,0,0,0,0,218888,1123660,3830992,2555772,0,0,0,0,0,0,0,3110404,2390782,1413390,1381194,0,245052,221686,0,0,0,0,0,0,0,0,0,0,0,0,0,229052,340494,0,0,0,0,0,0,0,211460,382698,0,0,0,0,0,0,0,0,0,431252,0,0,0,0,0,VPN
0,0,0,120184,341688,1302880,3944464,133290,0,0,267414,344584,148646,403276,466798,279014,200830,0,0,0,0,0,346896,0,0,0,0,0,0,0,474984,0,0,0,0,0,459928,0,0,0,0,0,0,0,0,0,0,0,600796,0,0,454320,0,0,0,0,0,0,0,0,0,0,0,0,0,239804,2088780,5351728,0,0,0,0,3367472,1138984,3177996,1338774,0,0,630686,0,0,450096,0,0,0,0,0,0,0,0,0,0,0,0,0,573584,0,0,0,0,0,0,0,0,0,594052,0,0,0,0,0,0,0,0,0,0,431252,0,0,0,VPN
0,0,244676,899242,3094814,223974,1277632,0,0,199702,411914,122804,248900,613218,504568,156984,0,0,194488,151742,0,0,362732,0,319270,0,0,0,0,0,0,0,0,0,617900,442670,0,0,0,0,0,0,0,0,0,0,0,0,0,448320,0,0,0,0,0,0,0,0,0,0,0,0,0,251114,1708284,5760080,632064,0,0,0,0,0,0,0,0,0,0,0,0,647358,0,0,0,0,0,0,0,0,0,0,0,2743788,1147392,1453132,1630190,1797724,0,0,0,576804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618606,0,0,455698,VPN
0,0,231472,1016622,3248304,1331698,0,0,0,324874,286876,169700,232786,658138,365572,0,0,0,0,0,0,0,343586,0,0,0,0,0,0,457122,0,0,0,0,464682,0,0,0,0,0,0,0,0,0,0,0,0,599744,0,453736,0,0,0,0,0,0,0,0,0,0,0,0,0,264958,1768150,3768912,1916766,0,0,0,0,0,0,0,0,0,629498,0,1242396,4345462,654676,558354,0,0,0,0,0,0,0,0,0,0,0,0,569164,0,0,0,0,0,0,0,0,594020,0,0,0,0,0,0,0,0,0,0,431252,0,0,0,0,0,VPN
0,0,234858,1517924,145790,504950,196664,442104,315254,395324,0,0,129986,0,0,0,0,0,348580,0,0,0,0,0,0,0,0,0,474628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443380,0,0,0,600344,0,454618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101564,291590,583870,1169218,1121994,1217340,1620956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VPN
0,0,305120,1086972,2839250,533066,965302,0,110166,478154,0,253992,645306,259816,271418,0,0,137906,355352,0,0,361328,0,0,0,0,0,0,462188,0,0,0,0,535584,0,0,0,0,0,0,0,0,0,453046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441176,0,0,0,0,0,0,0,619314,0,0,0,0,0,0,0,521396,0,0,0,0,0,0,0,0,437742,2731154,3652642,502124,0,569408,0,0,0,559834,0,0,0,0,0,0,0,0,0,0,540234,3734518,2249738,0,0,446510,0,0,0,0,0,618298,0,0,0,0,0,VPN
0,0,0,0,305070,1101874,2815226,538542,1002466,0,124018,493946,0,313564,594428,314760,182000,0,0,288590,0,0,251012,117410,0,0,322464,0,0,0,0,0,0,0,0,616438,443334,0,0,0,0,0,0,0,0,0,0,0,0,0,448028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489936,269302,2450636,5167396,0,0,0,0,0,0,0,0,0,0,0,0,3484500,1430834,4079978,0,0,0,0,0,0,0,0,0,0,559956,0,0,0,0,0,568634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618330,0,0,0,VPN
0,0,0,210774,799338,2315750,2423564,0,0,239538,379290,154244,267794,440016,493316,156618,0,0,119208,0,0,0,189324,159148,0,0,0,0,0,474458,0,0,0,0,0,443380,0,0,0,0,0,0,0,0,0,0,0,599590,0,0,453460,0,0,0,0,0,0,0,0,0,0,0,0,0,196478,1618780,5655022,271924,0,0,0,0,0,0,0,0,0,635210,0,0,509416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581134,0,0,0,0,0,0,0,594036,0,0,0,0,0,0,0,0,0,0,431252,0,0,0,0,VPN
0,0,0,508604,1566562,2144090,561208,946818,0,0,413220,187978,0,382398,456782,257852,218866,101602,338890,0,0,267556,0,0,233844,0,0,0,0,0,0,0,0,0,970718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448166,0,0,0,0,0,0,0,0,0,0,0,0,0,130972,828196,5089506,2151692,1035612,107328,0,0,0,0,0,0,0,0,0,0,196176,434988,0,0,0,0,0,0,0,0,0,0,1562188,4270806,559956,0,0,0,0,0,568634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618590,0,0,0,455942,VPN
0,0,121338,437262,1450264,2297266,488072,1041360,0,110142,472030,0,279886,564474,135424,302590,194656,125396,259598,139094,0,167922,194500,294942,0,0,0,0,0,0,0,0,0,0,1058912,0,0,0,0,0,0,0,0,0,0,0,0,0,448044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442558,0,660668,319838,2120230,4841706,0,4456870,1130804,664806,0,0,0,0,579568,0,0,0,0,0,0,0,0,0,0,0,0,0,107838,456460,0,0,0,0,0,574134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618468,0,0,455438,VPN
0,0,0,389254,1329576,3782796,235992,0,265098,347554,0,152674,600760,326230,292602,158336,0,0,133026,139812,0,0,295316,0,0,0,0,0,0,439450,0,0,0,0,107156,336224,0,0,0,0,0,0,0,0,0,0,0,599866,0,453460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159250,1462532,5125946,1001902,0,0,0,0,0,0,0,0,625718,0,0,443672,3176706,1056558,804198,1395244,1151602,1148264,963388,0,0,0,0,0,0,0,569270,0,0,0,0,0,0,0,0,593744,0,0,0,0,0,0,0,0,0,0,430976,0,0,0,0,0,VPN
0,0,0,0,324032,1249004,3352922,737116,110186,0,288734,323136,169028,255252,525894,404862,171446,0,0,110258,0,0,0,311286,0,0,0,0,0,0,475888,0,0,0,0,443072,0,0,0,0,0,0,0,0,0,0,0,0,599654,0,0,453582,0,0,0,0,0,0,0,0,0,0,0,0,0,130758,1280602,4102080,749086,0,0,0,0,0,0,0,0,623584,0,0,443250,0,0,0,0,2592970,3742608,1975206,2322198,839274,0,0,0,0,0,573386,0,0,0,0,0,0,0,0,593622,0,0,0,0,0,0,0,0,0,0,0,431252,0,0,0,VPN
